                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3698,                   9.61,                 2.3228,                0.14744,                0.14286,                0.05006,                0.03544,                 2.3764,                 6.9121,                 2.6914,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.2264,                 10.085,                 2.1728,                0.00534,                0.07143,                0.00179,                0.00092,                 2.1828,                 45.214,                 2.4447,             0.00021564,             0.00021564,             0.00021564
                      3,                 2.1875,                 5.1137,                 1.9703,                0.00218,                0.28571,                 0.0018,                0.00069,                 2.4289,                    inf,                  2.609,             0.00032654,             0.00032654,             0.00032654
                      4,                  2.012,                 3.2659,                 1.7292,                0.00377,                0.42857,                0.00226,                0.00068,                 2.6731,                 189.12,                 3.5311,             0.00043268,             0.00043268,             0.00043268
                      5,                 2.0372,                 2.7277,                 1.8031,                0.01446,                0.28571,                0.00568,                0.00187,                 2.6204,                 27.246,                 2.7755,             0.00053406,             0.00053406,             0.00053406
                      6,                 2.1621,                 2.2064,                  2.041,                0.00142,                0.28571,                 0.0009,                0.00024,                 2.9972,                    inf,                 35.807,              0.0006307,              0.0006307,              0.0006307
                      7,                 2.1181,                 2.1533,                 2.0131,                0.00036,                0.07143,                0.00019,                  6e-05,                    nan,                    nan,                    nan,             0.00072258,             0.00072258,             0.00072258
                      8,                 2.0677,                 1.9096,                 1.8438,                0.00072,                0.07143,                0.00041,                  4e-05,                    nan,                    nan,                    nan,             0.00080972,             0.00080972,             0.00080972
                      9,                 2.1631,                   2.07,                  1.929,                0.00072,                0.07143,                0.00041,                  4e-05,                    nan,                    nan,                    nan,              0.0008921,              0.0008921,              0.0008921
                     10,                 2.1061,                 2.1769,                 1.8869,                0.00072,                0.07143,                0.00041,                  4e-05,                    nan,                    nan,                    nan,             0.00096972,             0.00096972,             0.00096972
                     11,                 2.0253,                 1.9447,                 1.9187,                 0.0007,                0.14286,                0.00115,                0.00023,                    nan,                    nan,                    nan,              0.0010426,              0.0010426,              0.0010426
                     12,                 2.0392,                 2.3988,                  1.868,                 0.0007,                0.14286,                0.00115,                0.00023,                  4.315,                    inf,                 56.707,              0.0011107,              0.0011107,              0.0011107
                     13,                 1.9846,                 1.8733,                 1.7772,                 0.0007,                0.14286,                0.00115,                0.00023,                 5.6313,                    inf,                 202.65,              0.0011741,              0.0011741,              0.0011741
                     14,                  1.872,                  1.809,                 1.9647,                 0.0007,                0.14286,                0.00115,                0.00023,                    nan,                    nan,                    nan,              0.0012327,              0.0012327,              0.0012327
                     15,                 1.9984,                 1.7419,                 1.7856,                0.00034,                0.07143,                0.00018,                  2e-05,                 4.8134,                    inf,                 144.39,              0.0012866,              0.0012866,              0.0012866
                     16,                  2.054,                 1.6511,                 1.8209,                0.00035,                0.07143,                0.00019,                  2e-05,                 4.1495,                    inf,                 10.422,              0.0013357,              0.0013357,              0.0013357
                     17,                 2.0944,                 1.9357,                 1.9378,                0.21377,                0.14286,                 0.0659,                0.01129,                 3.5289,                 11.865,                 4.4696,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.9409,                 1.6148,                 1.8415,                   0.25,                0.14286,                0.05834,                0.02296,                 3.0998,                  28.92,                 4.2948,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.9481,                 1.6761,                 1.8434,                0.16969,                0.07143,                0.04154,                0.01253,                 3.3533,                 15.162,                 4.4089,              0.0013268,              0.0013268,              0.0013268
                     20,                 2.0477,                 1.7509,                 1.9373,                      1,                0.07143,                0.07533,                0.00761,                 4.8641,                 19.963,                 8.6958,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.9767,                 1.7096,                 1.9063,                      1,                0.07143,                 0.0823,                0.00919,                 3.2586,                 21.054,                 4.9444,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.9755,                 1.6198,                 1.8133,                0.03536,                0.14286,                0.00971,                0.00434,                 2.6896,                    nan,                 3.2672,               0.001208,               0.001208,               0.001208
                     23,                 2.0151,                 1.5163,                 1.8867,                0.02746,                0.35714,                 0.0112,                0.00403,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.9912,                 1.5168,                 1.8667,                0.00986,                0.35714,                0.00618,                0.00249,                 2.2993,                    inf,                 3.2438,              0.0011288,              0.0011288,              0.0011288
