                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1941,                 5.2376,                 1.4102,                0.00305,                0.79699,                0.51633,                0.34078,                 1.1735,                  7.134,                 1.4811,                 0.0002,                 0.0002,                 0.0002
                      2,                  1.192,                 3.9628,                  1.323,                0.00339,                0.88722,                0.76801,                 0.5206,                0.93186,                 6.5211,                 1.2649,             0.00041168,             0.00041168,             0.00041168
                      3,                 1.1708,                 3.2772,                 1.2668,                      1,                0.21793,                0.70191,                0.49138,                 1.0001,                 6.4915,                 1.3157,             0.00061466,             0.00061466,             0.00061466
                      4,                  1.174,                 3.0185,                 1.2727,                0.83264,                0.59852,                0.71537,                0.43256,                 1.3419,                 6.5915,                 1.8043,             0.00080892,             0.00080892,             0.00080892
                      5,                 1.1757,                 2.9009,                 1.2782,                0.87204,                 0.6149,                 0.7102,                 0.4426,                 1.3316,                 6.3867,                 1.6016,             0.00099446,             0.00099446,             0.00099446
                      6,                 1.1939,                 2.8019,                 1.3043,                0.71722,                0.18797,                0.31909,                0.15509,                  1.595,                 5.1501,                 1.8293,              0.0011713,              0.0011713,              0.0011713
                      7,                 1.1801,                  2.522,                 1.3048,                0.77894,                0.56391,                0.66123,                0.37804,                 1.3523,                 3.6276,                  1.629,              0.0013394,              0.0013394,              0.0013394
                      8,                 1.2082,                 2.3139,                 1.2956,                0.66783,                0.69173,                0.71341,                0.45505,                 1.2621,                 3.3402,                 1.5256,              0.0014988,              0.0014988,              0.0014988
                      9,                 1.1921,                 2.0961,                 1.2894,                0.78001,                0.63984,                0.72625,                0.48723,                 1.2096,                 3.4615,                 1.4417,              0.0016495,              0.0016495,              0.0016495
                     10,                 1.1591,                 1.8767,                 1.2911,                0.68318,                0.57143,                0.64066,                0.39036,                 1.4741,                 2.9069,                 1.5946,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1548,                 1.6511,                 1.2429,                0.67894,                0.63158,                0.66515,                0.43494,                 1.1559,                 2.8637,                 1.4353,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.1981,                 1.7961,                 1.3241,                0.66412,                 0.6244,                 0.6535,                0.38295,                  1.371,                 2.4179,                 1.5926,               0.001604,               0.001604,               0.001604
                     13,                 1.2468,                 1.6038,                  1.324,                0.71792,                0.63149,                0.67987,                0.48281,                 1.1843,                  2.253,                 1.4602,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.1358,                  1.363,                 1.2602,                0.71276,                0.57143,                0.61516,                  0.387,                 1.3441,                 2.3135,                 1.5376,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.1632,                 1.3205,                 1.2875,                0.78085,                0.61619,                0.66844,                0.37994,                 1.4903,                 1.9852,                  1.564,              0.0014852,              0.0014852,              0.0014852
                     16,                  1.124,                 1.2279,                 1.2141,                0.74555,                 0.6389,                0.73844,                0.44931,                 1.2857,                 1.9442,                 1.4773,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.0584,                 1.1158,                 1.1718,                0.66384,                0.62406,                0.63719,                0.37724,                 1.3874,                  2.034,                 1.5197,               0.001406,               0.001406,               0.001406
                     18,                 1.1358,                 1.1095,                 1.2627,                0.83205,                0.81948,                0.86896,                0.62467,                 1.0423,                 1.3998,                 1.2932,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.1177,                 1.0818,                 1.2251,                0.84843,                0.78195,                0.83275,                0.61491,                0.99107,                  1.944,                 1.2331,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.0553,                0.99594,                 1.2022,                0.89931,                0.80587,                0.86741,                0.64569,                0.98374,                 1.5484,                 1.2375,              0.0012872,              0.0012872,              0.0012872
                     21,                  1.049,                0.95909,                 1.1956,                0.80745,                0.79699,                0.83744,                 0.5965,                 1.0668,                  1.077,                 1.3128,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.0368,                0.91526,                 1.1707,                0.95333,                0.76692,                0.88846,                  0.655,                 1.0252,                  1.164,                 1.2443,               0.001208,               0.001208,               0.001208
                     23,                 1.1142,                0.96651,                 1.2213,                0.92531,                0.83831,                0.89019,                0.68926,                0.89832,                0.97451,                  1.158,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.1029,                0.94721,                 1.1913,                 0.9498,                 0.8535,                0.91484,                0.70689,                0.92151,                0.87489,                 1.1612,              0.0011288,              0.0011288,              0.0011288
                     25,                0.98471,                0.84709,                 1.1591,                0.93211,                0.84962,                0.92123,                0.72181,                0.84137,                  0.862,                 1.1297,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.0612,                0.82642,                 1.2021,                0.95964,                0.80451,                 0.8923,                0.69986,                0.84041,                0.78406,                 1.1218,              0.0010496,              0.0010496,              0.0010496
                     27,                 0.9954,                0.83165,                 1.1478,                0.91126,                0.85714,                0.92341,                  0.676,                0.90197,                0.76095,                 1.1497,                0.00101,                0.00101,                0.00101
                     28,                0.94349,                0.75851,                 1.1237,                0.94992,                0.85567,                0.91709,                0.73584,                0.85613,                0.69933,                 1.1234,              0.0009704,              0.0009704,              0.0009704
                     29,                0.97681,                0.76315,                 1.1364,                0.95849,                0.83459,                0.91206,                0.71961,                0.85989,                0.69902,                 1.1243,              0.0009308,              0.0009308,              0.0009308
                     30,                0.99763,                0.74709,                 1.1326,                0.95676,                0.86466,                0.91705,                0.72119,                0.88167,                0.69755,                 1.1529,              0.0008912,              0.0008912,              0.0008912
                     31,                0.96358,                0.71609,                 1.1454,                0.94345,                0.87801,                 0.9252,                0.72107,                0.82854,                0.64986,                 1.1283,              0.0008516,              0.0008516,              0.0008516
                     32,                0.99522,                0.74761,                 1.1551,                0.94085,                0.85714,                 0.9124,                0.69352,                0.89367,                0.68368,                 1.1425,               0.000812,               0.000812,               0.000812
                     33,                0.92627,                0.69406,                 1.1413,                0.97344,                0.82681,                0.90349,                0.69751,                0.90837,                0.69934,                 1.1695,              0.0007724,              0.0007724,              0.0007724
                     34,                0.93657,                0.69124,                 1.1161,                0.94252,                0.86298,                0.93354,                0.73179,                0.84933,                0.58389,                 1.1184,              0.0007328,              0.0007328,              0.0007328
                     35,                0.94982,                0.67957,                 1.1337,                0.92121,                0.87908,                0.92505,                0.73102,                0.80108,                 0.5747,                 1.0977,              0.0006932,              0.0006932,              0.0006932
                     36,                0.93686,                0.66899,                 1.1204,                0.91896,                0.89474,                0.92938,                0.72676,                 0.8353,                0.60506,                 1.1195,              0.0006536,              0.0006536,              0.0006536
                     37,                0.92368,                0.65018,                 1.1192,                0.97101,                0.85714,                0.93074,                0.73135,                0.83138,                 0.5889,                 1.1203,               0.000614,               0.000614,               0.000614
                     38,                0.88556,                0.64153,                 1.0661,                0.96659,                0.84962,                0.92717,                0.73529,                0.85015,                0.58894,                 1.1121,              0.0005744,              0.0005744,              0.0005744
                     39,                0.91488,                0.64174,                 1.0767,                0.96007,                0.87218,                0.94261,                0.74715,                0.80904,                0.56628,                 1.0971,              0.0005348,              0.0005348,              0.0005348
                     40,                0.85645,                0.59228,                 1.0792,                0.96899,                0.84962,                0.93688,                0.73067,                0.86259,                0.58772,                 1.1268,              0.0004952,              0.0004952,              0.0004952
                     41,                0.85734,                0.59553,                 1.0868,                0.97273,                0.83459,                  0.933,                0.73937,                0.84111,                0.58542,                 1.1087,              0.0004556,              0.0004556,              0.0004556
                     42,                0.82458,                0.56941,                 1.0509,                0.95515,                 0.8797,                0.93823,                0.74784,                0.80773,                0.57359,                 1.0848,               0.000416,               0.000416,               0.000416
