                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0447,                  7.213,                 4.1845,                0.00072,                0.18797,                0.00045,                0.00014,                 2.6624,                 8.4467,                 4.1462,                 0.0004,                 0.0004,                 0.0004
                      2,                 3.0851,                 6.1996,                 4.1079,                0.00083,                0.21805,                0.00052,                0.00016,                 2.6478,                 7.9272,                 4.0446,             0.00080376,             0.00080376,             0.00080376
                      3,                 3.0016,                 5.4675,                 3.8472,                0.00115,                0.30075,                0.00185,                0.00042,                 2.6497,                 4.6909,                  4.135,              0.0011909,              0.0011909,              0.0011909
                      4,                 2.8477,                 5.4779,                 3.5652,                0.00115,                0.30075,                0.00186,                0.00039,                 2.6255,                 4.6297,                 3.8663,              0.0015614,              0.0015614,              0.0015614
                      5,                 2.7074,                 4.8598,                 3.3388,                0.08372,                0.24812,                0.09234,                0.01819,                 2.5791,                 4.2448,                 3.4749,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.6591,                 4.4915,                 3.2083,                0.12867,                0.23308,                0.08007,                0.02309,                 2.4639,                 6.2315,                 3.2546,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.6637,                 4.2347,                 3.1971,                0.15904,                 0.2204,                0.09269,                 0.0278,                 2.5446,                 10.915,                   3.86,               0.001802,               0.001802,               0.001802
                      8,                 2.5439,                 3.8508,                 3.0708,                0.23597,                0.30827,                0.15431,                0.04355,                 2.3637,                 13.582,                 3.5724,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.4948,                 3.5514,                 3.0675,                0.28993,                 0.3609,                0.22114,                0.07921,                 2.0663,                  6.409,                 2.8073,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.3607,                 3.3725,                 2.9517,                0.21664,                0.30827,                0.17268,                0.05459,                  2.148,                 4.3979,                  2.881,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.3179,                 3.1422,                 2.8283,                0.21753,                0.26316,                0.13601,                0.04429,                 2.1704,                 3.7338,                 2.9958,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.2643,                 3.0209,                 2.8603,                0.25259,                 0.2782,                 0.2027,                0.06522,                 2.1268,                 3.7145,                 2.7985,               0.001604,               0.001604,               0.001604
                     13,                  2.273,                 2.8835,                 2.7974,                0.46514,                0.50376,                0.44376,                0.16404,                 1.9979,                 3.3053,                 2.6605,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.1901,                 2.7035,                  2.677,                0.48033,                0.43609,                0.45521,                 0.1559,                 2.0202,                 2.5004,                 2.6629,              0.0015248,              0.0015248,              0.0015248
                     15,                 2.1488,                 2.7287,                 2.7091,                 0.0779,                 0.4812,                0.06604,                0.02763,                 2.1157,                 4.1398,                 2.8124,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.1971,                 2.5283,                 2.6895,                0.03922,                0.60902,                0.03494,                0.01509,                 2.0809,                  48.74,                 2.8347,              0.0014456,              0.0014456,              0.0014456
                     17,                 2.1791,                 2.6789,                 2.6808,                0.47233,                0.44361,                0.44249,                 0.1752,                 1.9318,                 2.4594,                 2.7074,               0.001406,               0.001406,               0.001406
                     18,                 2.0908,                 2.3444,                   2.59,                0.39179,                0.39717,                0.38882,                0.17874,                 1.8564,                 2.1335,                 2.5629,              0.0013664,              0.0013664,              0.0013664
                     19,                  2.065,                 2.3546,                 2.5561,                0.39883,                0.40602,                0.39846,                0.17767,                 1.8431,                 2.3963,                 2.5808,              0.0013268,              0.0013268,              0.0013268
                     20,                 2.0988,                 2.3103,                 2.5852,                0.42997,                0.45865,                 0.4458,                0.19089,                 1.8596,                 2.3977,                 2.5221,              0.0012872,              0.0012872,              0.0012872
                     21,                 2.0548,                 2.2009,                 2.5813,                0.56471,                  0.556,                0.55973,                0.22639,                 1.8482,                 2.1189,                 2.5477,              0.0012476,              0.0012476,              0.0012476
                     22,                 2.0196,                 2.2184,                  2.575,                0.48583,                0.44758,                0.46244,                0.21918,                  1.799,                 2.2387,                 2.5017,               0.001208,               0.001208,               0.001208
                     23,                 2.0255,                 2.1658,                 2.5144,                0.43582,                0.54016,                0.46709,                0.21478,                 1.8109,                 2.1747,                   2.46,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.9771,                 2.1662,                 2.4808,                0.56737,                0.57895,                0.59257,                0.29649,                 1.7203,                 2.0554,                 2.3997,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.9058,                 1.9809,                   2.44,                0.67014,                0.58647,                0.62709,                0.31299,                 1.8223,                 1.9174,                  2.466,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.8875,                  1.986,                  2.429,                0.75805,                0.65962,                0.73202,                0.36715,                 1.7396,                 1.6533,                  2.401,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.8903,                 1.9638,                 2.4275,                0.65441,                0.59398,                0.64914,                0.36796,                 1.5736,                 1.8878,                 2.3396,                0.00101,                0.00101,                0.00101
                     28,                 1.8204,                 1.9043,                 2.3602,                0.66221,                 0.6391,                0.69982,                0.39121,                 1.6337,                 1.8323,                 2.3689,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.8822,                 1.8533,                 2.3614,                0.60485,                0.59398,                0.59237,                0.32687,                 1.7106,                 2.0681,                  2.379,              0.0009308,              0.0009308,              0.0009308
                     30,                  1.808,                 1.7518,                 2.2953,                0.71735,                0.68421,                0.74903,                0.41688,                  1.743,                 1.7346,                  2.339,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.7984,                 1.8361,                 2.3245,                0.80489,                0.58934,                0.71246,                0.39218,                 1.7306,                 1.7828,                 2.3611,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.8247,                 1.8068,                 2.3668,                0.71091,                0.66917,                0.73076,                0.40047,                 1.5138,                 1.8016,                  2.223,               0.000812,               0.000812,               0.000812
                     33,                 1.7483,                 1.6623,                 2.2448,                0.73434,                0.70677,                0.73752,                0.42579,                 1.6436,                 1.6469,                 2.3609,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.7781,                 1.6837,                  2.256,                0.82695,                0.70677,                0.80821,                0.42569,                 1.7548,                 1.6958,                 2.3214,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.6915,                 1.7104,                 2.2306,                0.83666,                0.68421,                0.80301,                0.50503,                 1.4771,                 1.4206,                 2.2002,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.7367,                 1.6794,                 2.2003,                0.85765,                0.77011,                0.83189,                0.50283,                 1.6143,                 1.4033,                 2.2309,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.7117,                 1.7288,                 2.2024,                0.87416,                0.72932,                0.82831,                0.51703,                 1.4345,                 1.3873,                 2.1295,               0.000614,               0.000614,               0.000614
                     38,                 1.6482,                 1.6152,                 2.2267,                0.84491,                 0.7594,                0.82407,                0.50283,                 1.4779,                 1.4159,                 2.0996,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.6074,                 1.5283,                 2.1446,                0.83959,                0.75188,                0.83754,                0.53754,                 1.4233,                 1.3394,                 2.1193,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.5705,                 1.4579,                 2.1312,                0.86703,                0.78445,                0.84631,                0.49773,                 1.4882,                 1.3169,                 2.1263,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.5328,                 1.5763,                 2.1027,                0.81436,                0.76692,                0.82416,                0.53413,                  1.419,                 1.2992,                 2.1083,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.5179,                 1.5295,                 2.0944,                0.83271,                0.78593,                0.83577,                0.52108,                  1.436,                 1.2663,                  2.041,               0.000416,               0.000416,               0.000416
                     43,                 1.4185,                 1.4325,                 2.0336,                0.89995,                0.80451,                0.87142,                0.61418,                 1.2622,                 1.1896,                 1.9595,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.4265,                  1.407,                 2.0492,                0.92041,                0.78252,                0.85996,                0.57187,                  1.362,                 1.2718,                 2.0686,              0.0003368,              0.0003368,              0.0003368
                     45,                  1.413,                 1.3365,                 2.0161,                0.86528,                0.77444,                0.84879,                0.58409,                 1.2879,                 1.2326,                 1.9512,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.3846,                 1.3126,                 1.9885,                0.92189,                0.81955,                0.87775,                0.58981,                 1.3218,                 1.2273,                 2.0066,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.3318,                 1.2997,                 1.9516,                0.88326,                0.85332,                0.88005,                0.62797,                 1.2146,                 1.1201,                 1.9051,               0.000218,               0.000218,               0.000218
                     48,                 1.3368,                  1.306,                 1.9483,                0.92319,                0.82707,                0.89048,                0.62168,                 1.2538,                 1.1444,                 1.9254,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.3149,                  1.255,                 1.9279,                0.94784,                0.81955,                0.88551,                0.62651,                 1.2462,                 1.1408,                 1.9295,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.3584,                 1.2811,                 1.9338,                0.89167,                0.81203,                0.87174,                0.61704,                 1.2104,                 1.0916,                 1.8941,               9.92e-05,               9.92e-05,               9.92e-05
