                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5364,                 4.9012,                 1.8911,                0.32858,                 0.1203,                0.10357,                0.04939,                    nan,                    nan,                    nan,             0.00065079,             0.00065079,             0.00065079
                      2,                 1.9283,                 3.0913,                  2.182,                 0.0015,                0.33835,                0.00116,                 0.0003,                 2.8842,                    inf,                 47.945,              0.0012914,              0.0012914,              0.0012914
                      3,                 2.0718,                 2.9715,                 2.2596,                0.00039,                0.09774,                0.00022,                  6e-05,                 4.0439,                    inf,                 108.86,              0.0019056,              0.0019056,              0.0019056
                      4,                  2.076,                 3.0696,                 2.3495,                0.00079,                0.03759,                0.00035,                0.00012,                 3.2476,                    inf,                 15.292,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.9556,                 2.5674,                 2.1589,                0.04684,                0.37594,                0.06315,                0.02507,                 1.8622,                 100.23,                 3.1085,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.8666,                 2.3386,                 2.1099,                0.00447,                0.29323,                0.00341,                0.00076,                 3.6315,                    inf,                 22.422,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.7316,                 2.0657,                 1.9371,                0.27022,                0.18045,                 0.1349,                0.05506,                 1.9953,                 17.106,                 2.5633,               0.001802,               0.001802,               0.001802
                      8,                 1.7609,                 2.1311,                 1.9565,                0.43543,                0.37693,                0.30437,                0.14943,                 1.7896,                  7.461,                 2.3021,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.7648,                 2.0379,                 1.9342,                0.60759,                0.43609,                0.54216,                0.28787,                 1.4864,                 4.1925,                  1.958,              0.0017228,              0.0017228,              0.0017228
                     10,                  1.612,                 1.8869,                 1.8216,                0.20435,                0.21053,                0.13817,                0.06766,                 1.8015,                 5.7806,                 2.0719,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.6237,                 1.6881,                 1.7821,                0.47844,                0.58647,                0.51664,                0.31604,                 1.5121,                 3.1812,                 1.9147,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.6138,                 1.7498,                 1.8596,                0.62137,                0.54887,                 0.5357,                0.33362,                   1.42,                 4.2783,                 1.8271,               0.001604,               0.001604,               0.001604
                     13,                 1.5804,                 1.6463,                 1.8126,                0.57374,                0.48872,                0.50381,                0.30384,                 1.4835,                 2.5626,                 1.8677,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.4853,                 1.5017,                 1.6974,                 0.7944,                0.66819,                0.75375,                0.47161,                 1.3818,                 1.4219,                 1.8289,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.6003,                 1.5919,                 1.8193,                0.76006,                0.50376,                0.57654,                0.38516,                 1.4849,                 2.1002,                 1.8568,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.4975,                 1.5205,                 1.6646,                0.77662,                0.60122,                0.68906,                0.43198,                 1.4725,                 2.2155,                 1.8341,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.5213,                 1.5228,                 1.7311,                0.84145,                0.63847,                0.73408,                0.47765,                 1.3596,                 1.6436,                 1.7552,               0.001406,               0.001406,               0.001406
                     18,                 1.3903,                 1.4184,                 1.6307,                0.83469,                0.69925,                0.82657,                  0.528,                  1.372,                  1.276,                 1.7678,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.4933,                 1.3765,                 1.6949,                0.85448,                0.70637,                 0.8191,                0.52848,                 1.3476,                 1.2443,                 1.7106,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.4247,                 1.4257,                 1.6452,                0.80358,                0.75188,                0.82399,                0.54908,                 1.2961,                 1.3151,                 1.6492,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.4692,                 1.3798,                 1.6683,                0.83803,                 0.7218,                0.79875,                0.54976,                 1.2954,                 1.2785,                 1.6713,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.4406,                  1.383,                 1.6652,                0.78832,                0.70677,                0.83405,                0.56457,                 1.2394,                 1.2109,                  1.601,               0.001208,               0.001208,               0.001208
                     23,                 1.4464,                  1.393,                 1.6625,                0.88524,                0.70677,                0.80607,                0.54109,                 1.3205,                 1.3155,                 1.6631,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.4502,                 1.3583,                 1.6183,                0.77558,                0.77444,                0.84463,                0.59478,                 1.2621,                 1.2215,                  1.577,              0.0011288,              0.0011288,              0.0011288
